date,areaType,areaCode,areaName,newCasesBySpecimenDate
30/12/2020,overview,K02000001,United Kingdom,60224
29/12/2020,overview,K02000001,United Kingdom,79818
28/12/2020,overview,K02000001,United Kingdom,45257
27/12/2020,overview,K02000001,United Kingdom,47499
26/12/2020,overview,K02000001,United Kingdom,40261
25/12/2020,overview,K02000001,United Kingdom,14153
24/12/2020,overview,K02000001,United Kingdom,31793
23/12/2020,overview,K02000001,United Kingdom,42216
22/12/2020,overview,K02000001,United Kingdom,45551
21/12/2020,overview,K02000001,United Kingdom,47336
20/12/2020,overview,K02000001,United Kingdom,32465
19/12/2020,overview,K02000001,United Kingdom,25145
18/12/2020,overview,K02000001,United Kingdom,35834
17/12/2020,overview,K02000001,United Kingdom,33860
16/12/2020,overview,K02000001,United Kingdom,34861
15/12/2020,overview,K02000001,United Kingdom,33849
14/12/2020,overview,K02000001,United Kingdom,34696
13/12/2020,overview,K02000001,United Kingdom,21995
12/12/2020,overview,K02000001,United Kingdom,19360
11/12/2020,overview,K02000001,United Kingdom,24096
10/12/2020,overview,K02000001,United Kingdom,22637
09/12/2020,overview,K02000001,United Kingdom,21653
08/12/2020,overview,K02000001,United Kingdom,20805
07/12/2020,overview,K02000001,United Kingdom,21354
06/12/2020,overview,K02000001,United Kingdom,13608
05/12/2020,overview,K02000001,United Kingdom,12776
04/12/2020,overview,K02000001,United Kingdom,15663
03/12/2020,overview,K02000001,United Kingdom,15638
02/12/2020,overview,K02000001,United Kingdom,16441
01/12/2020,overview,K02000001,United Kingdom,16456
30/11/2020,overview,K02000001,United Kingdom,18019
29/11/2020,overview,K02000001,United Kingdom,10683
28/11/2020,overview,K02000001,United Kingdom,10956
27/11/2020,overview,K02000001,United Kingdom,14376
26/11/2020,overview,K02000001,United Kingdom,14584
25/11/2020,overview,K02000001,United Kingdom,16616
24/11/2020,overview,K02000001,United Kingdom,16467
23/11/2020,overview,K02000001,United Kingdom,18763
22/11/2020,overview,K02000001,United Kingdom,11741
21/11/2020,overview,K02000001,United Kingdom,12348
20/11/2020,overview,K02000001,United Kingdom,16849
19/11/2020,overview,K02000001,United Kingdom,17752
18/11/2020,overview,K02000001,United Kingdom,20751
17/11/2020,overview,K02000001,United Kingdom,23162
16/11/2020,overview,K02000001,United Kingdom,26572
15/11/2020,overview,K02000001,United Kingdom,16029
14/11/2020,overview,K02000001,United Kingdom,18000
13/11/2020,overview,K02000001,United Kingdom,24033
12/11/2020,overview,K02000001,United Kingdom,24454
11/11/2020,overview,K02000001,United Kingdom,27350
10/11/2020,overview,K02000001,United Kingdom,27407
09/11/2020,overview,K02000001,United Kingdom,31035
08/11/2020,overview,K02000001,United Kingdom,19950
07/11/2020,overview,K02000001,United Kingdom,18522
06/11/2020,overview,K02000001,United Kingdom,23317
05/11/2020,overview,K02000001,United Kingdom,23753
04/11/2020,overview,K02000001,United Kingdom,23677
03/11/2020,overview,K02000001,United Kingdom,25584
02/11/2020,overview,K02000001,United Kingdom,31507
01/11/2020,overview,K02000001,United Kingdom,15747
31/10/2020,overview,K02000001,United Kingdom,16497
30/10/2020,overview,K02000001,United Kingdom,22686
29/10/2020,overview,K02000001,United Kingdom,23347
28/10/2020,overview,K02000001,United Kingdom,23614
27/10/2020,overview,K02000001,United Kingdom,24107
26/10/2020,overview,K02000001,United Kingdom,26534
25/10/2020,overview,K02000001,United Kingdom,15721
24/10/2020,overview,K02000001,United Kingdom,16235
23/10/2020,overview,K02000001,United Kingdom,21486
22/10/2020,overview,K02000001,United Kingdom,23245
21/10/2020,overview,K02000001,United Kingdom,25466
20/10/2020,overview,K02000001,United Kingdom,25322
19/10/2020,overview,K02000001,United Kingdom,25589
18/10/2020,overview,K02000001,United Kingdom,14178
17/10/2020,overview,K02000001,United Kingdom,14763
16/10/2020,overview,K02000001,United Kingdom,17707
15/10/2020,overview,K02000001,United Kingdom,18431
14/10/2020,overview,K02000001,United Kingdom,19696
13/10/2020,overview,K02000001,United Kingdom,18904
12/10/2020,overview,K02000001,United Kingdom,19454
11/10/2020,overview,K02000001,United Kingdom,12074
10/10/2020,overview,K02000001,United Kingdom,12520
09/10/2020,overview,K02000001,United Kingdom,15738
08/10/2020,overview,K02000001,United Kingdom,18248
07/10/2020,overview,K02000001,United Kingdom,18333
06/10/2020,overview,K02000001,United Kingdom,17076
05/10/2020,overview,K02000001,United Kingdom,16560
04/10/2020,overview,K02000001,United Kingdom,11801
03/10/2020,overview,K02000001,United Kingdom,11556
02/10/2020,overview,K02000001,United Kingdom,13694
01/10/2020,overview,K02000001,United Kingdom,13189
30/09/2020,overview,K02000001,United Kingdom,12559
29/09/2020,overview,K02000001,United Kingdom,10245
28/09/2020,overview,K02000001,United Kingdom,9932
27/09/2020,overview,K02000001,United Kingdom,6973
26/09/2020,overview,K02000001,United Kingdom,6759
25/09/2020,overview,K02000001,United Kingdom,7246
24/09/2020,overview,K02000001,United Kingdom,7606
23/09/2020,overview,K02000001,United Kingdom,7057
22/09/2020,overview,K02000001,United Kingdom,6415
21/09/2020,overview,K02000001,United Kingdom,5599
20/09/2020,overview,K02000001,United Kingdom,5322
19/09/2020,overview,K02000001,United Kingdom,4860
18/09/2020,overview,K02000001,United Kingdom,4960
17/09/2020,overview,K02000001,United Kingdom,4636
16/09/2020,overview,K02000001,United Kingdom,4367
15/09/2020,overview,K02000001,United Kingdom,3551
14/09/2020,overview,K02000001,United Kingdom,3396
13/09/2020,overview,K02000001,United Kingdom,2143
12/09/2020,overview,K02000001,United Kingdom,2673
11/09/2020,overview,K02000001,United Kingdom,3295
10/09/2020,overview,K02000001,United Kingdom,3595
09/09/2020,overview,K02000001,United Kingdom,3331
08/09/2020,overview,K02000001,United Kingdom,3304
07/09/2020,overview,K02000001,United Kingdom,3864
06/09/2020,overview,K02000001,United Kingdom,2449
05/09/2020,overview,K02000001,United Kingdom,2545
04/09/2020,overview,K02000001,United Kingdom,3038
03/09/2020,overview,K02000001,United Kingdom,3098
02/09/2020,overview,K02000001,United Kingdom,2996
01/09/2020,overview,K02000001,United Kingdom,2250
31/08/2020,overview,K02000001,United Kingdom,1502
30/08/2020,overview,K02000001,United Kingdom,1161
29/08/2020,overview,K02000001,United Kingdom,1224
28/08/2020,overview,K02000001,United Kingdom,1627
27/08/2020,overview,K02000001,United Kingdom,1553
26/08/2020,overview,K02000001,United Kingdom,1353
25/08/2020,overview,K02000001,United Kingdom,1247
24/08/2020,overview,K02000001,United Kingdom,1271
23/08/2020,overview,K02000001,United Kingdom,825
22/08/2020,overview,K02000001,United Kingdom,826
21/08/2020,overview,K02000001,United Kingdom,1194
20/08/2020,overview,K02000001,United Kingdom,1464
19/08/2020,overview,K02000001,United Kingdom,1242
18/08/2020,overview,K02000001,United Kingdom,1083
17/08/2020,overview,K02000001,United Kingdom,1284
16/08/2020,overview,K02000001,United Kingdom,598
15/08/2020,overview,K02000001,United Kingdom,698
14/08/2020,overview,K02000001,United Kingdom,1163
13/08/2020,overview,K02000001,United Kingdom,1147
12/08/2020,overview,K02000001,United Kingdom,1208
11/08/2020,overview,K02000001,United Kingdom,1338
10/08/2020,overview,K02000001,United Kingdom,1474
09/08/2020,overview,K02000001,United Kingdom,615
08/08/2020,overview,K02000001,United Kingdom,696
07/08/2020,overview,K02000001,United Kingdom,943
06/08/2020,overview,K02000001,United Kingdom,1087
05/08/2020,overview,K02000001,United Kingdom,1062
04/08/2020,overview,K02000001,United Kingdom,1022
03/08/2020,overview,K02000001,United Kingdom,1044
02/08/2020,overview,K02000001,United Kingdom,556
01/08/2020,overview,K02000001,United Kingdom,542
31/07/2020,overview,K02000001,United Kingdom,677
30/07/2020,overview,K02000001,United Kingdom,924
29/07/2020,overview,K02000001,United Kingdom,1038
28/07/2020,overview,K02000001,United Kingdom,842
27/07/2020,overview,K02000001,United Kingdom,855
26/07/2020,overview,K02000001,United Kingdom,557
25/07/2020,overview,K02000001,United Kingdom,523
24/07/2020,overview,K02000001,United Kingdom,775
23/07/2020,overview,K02000001,United Kingdom,798
22/07/2020,overview,K02000001,United Kingdom,797
21/07/2020,overview,K02000001,United Kingdom,784
20/07/2020,overview,K02000001,United Kingdom,810
19/07/2020,overview,K02000001,United Kingdom,443
18/07/2020,overview,K02000001,United Kingdom,497
17/07/2020,overview,K02000001,United Kingdom,582
16/07/2020,overview,K02000001,United Kingdom,705
15/07/2020,overview,K02000001,United Kingdom,772
14/07/2020,overview,K02000001,United Kingdom,689
13/07/2020,overview,K02000001,United Kingdom,734
12/07/2020,overview,K02000001,United Kingdom,369
11/07/2020,overview,K02000001,United Kingdom,450
10/07/2020,overview,K02000001,United Kingdom,566
09/07/2020,overview,K02000001,United Kingdom,715
08/07/2020,overview,K02000001,United Kingdom,702
07/07/2020,overview,K02000001,United Kingdom,603
06/07/2020,overview,K02000001,United Kingdom,710
05/07/2020,overview,K02000001,United Kingdom,555
04/07/2020,overview,K02000001,United Kingdom,402
03/07/2020,overview,K02000001,United Kingdom,576
02/07/2020,overview,K02000001,United Kingdom,607
01/07/2020,overview,K02000001,United Kingdom,652
30/06/2020,overview,K02000001,United Kingdom,617
29/06/2020,overview,K02000001,United Kingdom,725
28/06/2020,overview,K02000001,United Kingdom,445
27/06/2020,overview,K02000001,United Kingdom,653
26/06/2020,overview,K02000001,United Kingdom,671
25/06/2020,overview,K02000001,United Kingdom,720
24/06/2020,overview,K02000001,United Kingdom,778
23/06/2020,overview,K02000001,United Kingdom,890
22/06/2020,overview,K02000001,United Kingdom,896
21/06/2020,overview,K02000001,United Kingdom,638
20/06/2020,overview,K02000001,United Kingdom,691
19/06/2020,overview,K02000001,United Kingdom,996
18/06/2020,overview,K02000001,United Kingdom,1028
17/06/2020,overview,K02000001,United Kingdom,1012
16/06/2020,overview,K02000001,United Kingdom,1102
15/06/2020,overview,K02000001,United Kingdom,1042
14/06/2020,overview,K02000001,United Kingdom,819
13/06/2020,overview,K02000001,United Kingdom,894
12/06/2020,overview,K02000001,United Kingdom,1058
11/06/2020,overview,K02000001,United Kingdom,1012
10/06/2020,overview,K02000001,United Kingdom,1191
09/06/2020,overview,K02000001,United Kingdom,1158
08/06/2020,overview,K02000001,United Kingdom,1098
07/06/2020,overview,K02000001,United Kingdom,722
06/06/2020,overview,K02000001,United Kingdom,809
05/06/2020,overview,K02000001,United Kingdom,1125
04/06/2020,overview,K02000001,United Kingdom,1255
03/06/2020,overview,K02000001,United Kingdom,1364
02/06/2020,overview,K02000001,United Kingdom,1491
01/06/2020,overview,K02000001,United Kingdom,1440
31/05/2020,overview,K02000001,United Kingdom,1080
30/05/2020,overview,K02000001,United Kingdom,1121
29/05/2020,overview,K02000001,United Kingdom,1526
28/05/2020,overview,K02000001,United Kingdom,1755
27/05/2020,overview,K02000001,United Kingdom,1828
26/05/2020,overview,K02000001,United Kingdom,1663
25/05/2020,overview,K02000001,United Kingdom,1619
24/05/2020,overview,K02000001,United Kingdom,1365
23/05/2020,overview,K02000001,United Kingdom,1527
22/05/2020,overview,K02000001,United Kingdom,2059
21/05/2020,overview,K02000001,United Kingdom,2568
20/05/2020,overview,K02000001,United Kingdom,2705
19/05/2020,overview,K02000001,United Kingdom,3053
18/05/2020,overview,K02000001,United Kingdom,2579
17/05/2020,overview,K02000001,United Kingdom,1833
16/05/2020,overview,K02000001,United Kingdom,2080
15/05/2020,overview,K02000001,United Kingdom,2528
14/05/2020,overview,K02000001,United Kingdom,2625
13/05/2020,overview,K02000001,United Kingdom,3308
12/05/2020,overview,K02000001,United Kingdom,3397
11/05/2020,overview,K02000001,United Kingdom,3570
10/05/2020,overview,K02000001,United Kingdom,2325
09/05/2020,overview,K02000001,United Kingdom,2160
08/05/2020,overview,K02000001,United Kingdom,3060
07/05/2020,overview,K02000001,United Kingdom,3765
06/05/2020,overview,K02000001,United Kingdom,3825
05/05/2020,overview,K02000001,United Kingdom,3675
04/05/2020,overview,K02000001,United Kingdom,3389
03/05/2020,overview,K02000001,United Kingdom,2977
02/05/2020,overview,K02000001,United Kingdom,3226
01/05/2020,overview,K02000001,United Kingdom,4733
30/04/2020,overview,K02000001,United Kingdom,4960
29/04/2020,overview,K02000001,United Kingdom,5433
28/04/2020,overview,K02000001,United Kingdom,4720
27/04/2020,overview,K02000001,United Kingdom,4700
26/04/2020,overview,K02000001,United Kingdom,3471
25/04/2020,overview,K02000001,United Kingdom,3747
24/04/2020,overview,K02000001,United Kingdom,4954
23/04/2020,overview,K02000001,United Kingdom,5140
22/04/2020,overview,K02000001,United Kingdom,5482
21/04/2020,overview,K02000001,United Kingdom,4759
20/04/2020,overview,K02000001,United Kingdom,4845
19/04/2020,overview,K02000001,United Kingdom,3847
18/04/2020,overview,K02000001,United Kingdom,4708
17/04/2020,overview,K02000001,United Kingdom,4938
16/04/2020,overview,K02000001,United Kingdom,5283
15/04/2020,overview,K02000001,United Kingdom,5050
14/04/2020,overview,K02000001,United Kingdom,4300
13/04/2020,overview,K02000001,United Kingdom,4176
12/04/2020,overview,K02000001,United Kingdom,3482
11/04/2020,overview,K02000001,United Kingdom,3567
10/04/2020,overview,K02000001,United Kingdom,4307
09/04/2020,overview,K02000001,United Kingdom,4852
08/04/2020,overview,K02000001,United Kingdom,5124
07/04/2020,overview,K02000001,United Kingdom,5441
06/04/2020,overview,K02000001,United Kingdom,5264
05/04/2020,overview,K02000001,United Kingdom,3588
04/04/2020,overview,K02000001,United Kingdom,4006
03/04/2020,overview,K02000001,United Kingdom,4920
02/04/2020,overview,K02000001,United Kingdom,4862
01/04/2020,overview,K02000001,United Kingdom,4908
31/03/2020,overview,K02000001,United Kingdom,4512
30/03/2020,overview,K02000001,United Kingdom,4267
29/03/2020,overview,K02000001,United Kingdom,2859
28/03/2020,overview,K02000001,United Kingdom,2819
27/03/2020,overview,K02000001,United Kingdom,3190
26/03/2020,overview,K02000001,United Kingdom,3087
25/03/2020,overview,K02000001,United Kingdom,2690
24/03/2020,overview,K02000001,United Kingdom,2372
23/03/2020,overview,K02000001,United Kingdom,2325
22/03/2020,overview,K02000001,United Kingdom,1379
21/03/2020,overview,K02000001,United Kingdom,1193
20/03/2020,overview,K02000001,United Kingdom,1256
19/03/2020,overview,K02000001,United Kingdom,1048
18/03/2020,overview,K02000001,United Kingdom,998
17/03/2020,overview,K02000001,United Kingdom,772
16/03/2020,overview,K02000001,United Kingdom,613
15/03/2020,overview,K02000001,United Kingdom,444
14/03/2020,overview,K02000001,United Kingdom,363
13/03/2020,overview,K02000001,United Kingdom,480
12/03/2020,overview,K02000001,United Kingdom,481
11/03/2020,overview,K02000001,United Kingdom,405
10/03/2020,overview,K02000001,United Kingdom,265
09/03/2020,overview,K02000001,United Kingdom,146
08/03/2020,overview,K02000001,United Kingdom,57
07/03/2020,overview,K02000001,United Kingdom,68
06/03/2020,overview,K02000001,United Kingdom,81
05/03/2020,overview,K02000001,United Kingdom,51
04/03/2020,overview,K02000001,United Kingdom,56
03/03/2020,overview,K02000001,United Kingdom,55
02/03/2020,overview,K02000001,United Kingdom,40
01/03/2020,overview,K02000001,United Kingdom,22
29/02/2020,overview,K02000001,United Kingdom,5
28/02/2020,overview,K02000001,United Kingdom,12
27/02/2020,overview,K02000001,United Kingdom,8
26/02/2020,overview,K02000001,United Kingdom,4
25/02/2020,overview,K02000001,United Kingdom,5
24/02/2020,overview,K02000001,United Kingdom,2
23/02/2020,overview,K02000001,United Kingdom,1
22/02/2020,overview,K02000001,United Kingdom,1
21/02/2020,overview,K02000001,United Kingdom,1
20/02/2020,overview,K02000001,United Kingdom,0
19/02/2020,overview,K02000001,United Kingdom,0
18/02/2020,overview,K02000001,United Kingdom,0
17/02/2020,overview,K02000001,United Kingdom,0
16/02/2020,overview,K02000001,United Kingdom,0
15/02/2020,overview,K02000001,United Kingdom,0
14/02/2020,overview,K02000001,United Kingdom,0
13/02/2020,overview,K02000001,United Kingdom,0
12/02/2020,overview,K02000001,United Kingdom,0
11/02/2020,overview,K02000001,United Kingdom,1
10/02/2020,overview,K02000001,United Kingdom,0
09/02/2020,overview,K02000001,United Kingdom,1
08/02/2020,overview,K02000001,United Kingdom,4
07/02/2020,overview,K02000001,United Kingdom,0
06/02/2020,overview,K02000001,United Kingdom,0
05/02/2020,overview,K02000001,United Kingdom,1
04/02/2020,overview,K02000001,United Kingdom,0
03/02/2020,overview,K02000001,United Kingdom,0
02/02/2020,overview,K02000001,United Kingdom,0
01/02/2020,overview,K02000001,United Kingdom,0
31/01/2020,overview,K02000001,United Kingdom,0
30/01/2020,overview,K02000001,United Kingdom,2
29/01/2020,overview,K02000001,United Kingdom,0
28/01/2020,overview,K02000001,United Kingdom,0
27/01/2020,overview,K02000001,United Kingdom,0
26/01/2020,overview,K02000001,United Kingdom,0
25/01/2020,overview,K02000001,United Kingdom,0
24/01/2020,overview,K02000001,United Kingdom,0
23/01/2020,overview,K02000001,United Kingdom,0
22/01/2020,overview,K02000001,United Kingdom,0
21/01/2020,overview,K02000001,United Kingdom,0
20/01/2020,overview,K02000001,United Kingdom,0
19/01/2020,overview,K02000001,United Kingdom,0
18/01/2020,overview,K02000001,United Kingdom,0
17/01/2020,overview,K02000001,United Kingdom,0
16/01/2020,overview,K02000001,United Kingdom,0
15/01/2020,overview,K02000001,United Kingdom,0
14/01/2020,overview,K02000001,United Kingdom,0
13/01/2020,overview,K02000001,United Kingdom,0
12/01/2020,overview,K02000001,United Kingdom,0
11/01/2020,overview,K02000001,United Kingdom,1